name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
Dixcy Scott Men's Cotton Trunk,men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81w+RgnPJcL._AC_UL320_.jpg,https://www.amazon.in/Dixcy-Scott-Mens-Trunks-K1/dp/B07D7592BS/ref=sr_1_26?qid=1679142473&s=apparel&sr=1-26,3.6,"3,657",₹168,₹259
"Van Heusen Men Boxer Briefs - 100% Combed Cotton - Pack of 2 - Anti Bacterial, Colour Fresh, Quick Dry",men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61W1--yX7SL._AC_UL320_.jpg,https://www.amazon.in/Van-Heusen-Cotton-Trunks-8907670962527_10032_Large_Anthra/dp/B073WCC5YL/ref=sr_1_27?qid=1679142473&s=apparel&sr=1-27,4.1,"10,064",,₹470
Jockey Men's Cotton Modern Brief,men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81K3ydXEN1L._AC_UL320_.jpg,https://www.amazon.in/Jockey-Mens-Cotton-Brief-8901326079829_FP02_Large_Navy/dp/B015ON72KS/ref=sr_1_28?qid=1679142473&s=apparel&sr=1-28,4.3,"4,480",₹219,₹259
Levi's Men Briefs,men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61LxFZ9bBbL._AC_UL320_.jpg,https://www.amazon.in/Levis-Solid-009-BRIEF-BLK-NAVY-P2_Black-Navy_L/dp/B07X63BBKZ/ref=sr_1_29?qid=1679142473&s=apparel&sr=1-29,4.0,"16,413",₹322,₹378
Jockey Men's Cotton Boxer Brief (Pack of 2),men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/814jcYEj30L._AC_UL320_.jpg,https://www.amazon.in/Jockey-Cotton-8009-0210-ASSTD-Charcoal-Melange/dp/B01420LFTS/ref=sr_1_30?qid=1679142473&s=apparel&sr=1-30,4.2,"11,140",₹555,₹568
Lux Cozi Men's Cotton Boxers (Pack of 5) (Color & Prints May Vary),men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81YAkkGqUEL._AC_UL320_.jpg,https://www.amazon.in/Lux-Cozi-Cotton-Boxers-8904209873293_COZI_Bigshot_SLP_DRW_90_Assorted/dp/B072N9Y33H/ref=sr_1_31?qid=1679142473&s=apparel&sr=1-31,3.9,"2,307",₹549,₹845
LUX VENUS Men's Cotton Vest (Pack of 6),men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81PaKtEAIZL._AC_UL320_.jpg,https://www.amazon.in/Lux-VENUS-Mens-Cotton-8904209874078_Venus_WH_RN_90_White/dp/B0721XXKKQ/ref=sr_1_32_mod_primary_new?qid=1679142473&s=apparel&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-32,3.9,"13,692",₹393,₹499
Jockey Men's Cotton Regular Fit Briefs (Pack of 2),men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61627S-MubL._AC_UL320_.jpg,https://www.amazon.in/Jockey-Cotton-Brief-8037-0210-ASSTD-Black/dp/B014213BHG/ref=sr_1_33?qid=1679142473&s=apparel&sr=1-33,4.2,"4,681",,₹378
"Van Heusen Men Briefs - 100% Combed Cotton - Pack of 3 - Anti Bacterial, Colour Fresh, Quick Dry_10003_Deep Red, Grey Mel,...",men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71gapN2B1CL._AC_UL320_.jpg,https://www.amazon.in/Van-Heusen-Cotton-Brief-8907670962039_10003_Medium_Deep/dp/B073WBTLT9/ref=sr_1_34?qid=1679142473&s=apparel&sr=1-34,4.1,"1,764",,₹597
Dixcy Scott Men Vest,men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71RTABB9myL._AC_UL320_.jpg,https://www.amazon.in/Dixcy-Scott-Mens-Vest-K1/dp/B07D77699F/ref=sr_1_35?qid=1679142473&s=apparel&sr=1-35,4.1,"9,863",₹213,₹329
Dixcy Scott Men Solid Vest,men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61ewu0OineL._AC_UL320_.jpg,https://www.amazon.in/Dixcy-Scott-Solid-white-PR12804VS/dp/B08ZJH8PXT/ref=sr_1_36?qid=1679142473&s=apparel&sr=1-36,3.7,"1,110",₹270,₹450
"Van Heusen Men Boxer Briefs - 100% Combed Cotton - Pack of 3 - Anti Bacterial, Colour Fresh, Quick Dry",men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61Yy770NgzL._AC_UL320_.jpg,https://www.amazon.in/Van-Heusen-Cotton-8907566752836_10031_Large_Anthramel-Pureblack/dp/B073WBT65K/ref=sr_1_37_mod_primary_new?qid=1679142473&s=apparel&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-37,4.2,"10,272",₹755,₹867
"Van Heusen Men Briefs - 100% Combed Cotton - Pack of 3 - Anti Bacterial, Colour Fresh, Quick Dry",men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61J0r+LfnKL._AC_UL320_.jpg,https://www.amazon.in/Van-Heusen-Cotton-Brief-8907670962046_10003_Large_Deep/dp/B073WC8X1B/ref=sr_1_38?qid=1679142473&s=apparel&sr=1-38,4.2,"13,231",₹617,₹717
Jockey Mens Printed Trunks,men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81jI9sHi1+L._AC_UL320_.jpg,https://www.amazon.in/Jockey-Cotton-Trunks-8901326157176_FP23-0105_Medium_Assorted-Colors/dp/B071D7WPMM/ref=sr_1_39?qid=1679142473&s=apparel&sr=1-39,4.0,"4,132",,₹389
LUX VENUS Men's Pack of 5 Plain Boxers (Colors May Vary),men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/817tZb9qYbL._AC_UL320_.jpg,https://www.amazon.in/Lux-Venus-cotton-Boxers-VENUS_ICDF_DRW_AST_90_5PC_Multi/dp/B076JQHCVY/ref=sr_1_40?qid=1679142473&s=apparel&sr=1-40,3.9,"5,273",₹499,₹999
Levi's Men's Cotton Style #012 Classic Regular Fit Solid Vest (Pack of 2) (#012-VEST-WHT- White P2_L),men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61RKR+dMEvL._AC_UL320_.jpg,https://www.amazon.in/Levis-Mens-Solid-Vest-012-VEST-WHT-P2_White_L/dp/B07X6ZQ6B2/ref=sr_1_41?qid=1679142473&s=apparel&sr=1-41,4.1,"1,601",₹359,₹449
Boldfit Gym Supporter for Men Sports Underwear for Men for Workout in Gym Stretchable Cotton Supporter for Gym Workout for...,men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61A29Snco0L._AC_UL320_.jpg,https://www.amazon.in/Boldfit-Supporter-Underwear-Stretchable-Moisture/dp/B0BSHGZX89/ref=sr_1_42?qid=1679142473&s=apparel&sr=1-42,4.7,73,₹329,₹699
Lux Cozi Men's Round Neck Sleeveless 100% Cotton Vest with Extended Length for Easy Tuck - Pack of 3 (Color & Prints May V...,men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71jXMYdi5FL._AC_UL320_.jpg,https://www.amazon.in/Lux-Cozi-Mens-Cotton-8904209871558_COZI_COL_RN_90_Assorted/dp/B071GYQ6ST/ref=sr_1_43_mod_primary_new?qid=1679142473&s=apparel&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-43,3.9,"2,734",₹349,₹599
Wearslim Men’s Slimming Body Shaper Vest Shirt Abs Abdomen Slim Stretchable Tummy Tucker Vest,men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71YSTjL7rXL._AC_UL320_.jpg,https://www.amazon.in/Wearslim-Slimming-Shaper-Abdomen-Stretchable/dp/B085FW5LYC/ref=sr_1_44?qid=1679142473&s=apparel&sr=1-44,3.5,"2,027",₹475,"₹1,499"
LUX VENUS Men's Cotton Vest (Pack of 5),men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71ufEYVZbHL._AC_UL320_.jpg,https://www.amazon.in/Lux-VENUS-Mens-Cotton-8904209874016_Venus_WH_RN_90_White/dp/B071KKRY68/ref=sr_1_45_mod_primary_new?qid=1679142473&s=apparel&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-45,4.0,"7,831",₹345,₹499
Rupa Jon Men's Cotton Vest (Pack of 3),men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71UKBLjGDyL._AC_UL320_.jpg,https://www.amazon.in/Rupa-Jon-Cotton-8903978687414_JN-RNS_90_White/dp/B01MRBVMVH/ref=sr_1_46?qid=1679142473&s=apparel&sr=1-46,4.0,"8,527",₹309,₹345
Jockey 8817 Men's Super Combed Cotton Round Neck Half Sleeved Vest with Extended Length for Easy Tuck (Pack of 2),men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81W3FI9zlAL._AC_UL320_.jpg,https://www.amazon.in/Jockey-Mens-Cotton-8901326037959_8817-0210-WHITE-White/dp/B00W04O1K4/ref=sr_1_47?qid=1679142473&s=apparel&sr=1-47,4.3,"1,298",₹596,₹598
Amazon Brand - Symbol Men's Cotton Regular Boxer Shorts,men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/814BCI4mCzL._AC_UL320_.jpg,https://www.amazon.in/Amazon-Brand-Symbol-Printed-SYMBXRPO2-70_Multicolor/dp/B07TPND4QH/ref=sr_1_48?qid=1679142473&s=apparel&sr=1-48,3.9,"14,432",₹352.25,₹998
Jockey 8008 Men's Super Combed Cotton Rib Solid Boxer Brief with Ultrasoft Concealed Waistband,men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91O5hdlTvwL._AC_UL320_.jpg,https://www.amazon.in/Jockey-Cotton-Boxer-8008_Large_Charcoal-Melange/dp/B01ENBZP1A/ref=sr_1_49?qid=1679142473&s=apparel&sr=1-49,4.2,"6,245",,₹289
Levi's Men's 010 Comfort Boxer Brief with Smartskin Technology (Pack of 2),men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/5135e2rbOiL._AC_UL320_.jpg,https://www.amazon.in/Levis-Solid-Brief-PR8240BB-Black_M/dp/B07X6384G3/ref=sr_1_50?qid=1679142473&s=apparel&sr=1-50,4.2,"7,628",₹399,₹499
VIP Frenchie Plus Men's Cotton Brief (Pack of 6),men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/91GdEV8ZEbL._AC_UL320_.jpg,https://www.amazon.in/VIP-Cotton-Brief-Assorted-Colors/dp/B01E2BZFDE/ref=sr_1_51?qid=1679142473&s=apparel&sr=1-51,4.1,"5,873",₹670,₹720
MacroMan Men's Printed Trunks (Pack of 2),men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81YzU-oqBUL._AC_UL320_.jpg,https://www.amazon.in/Rupa-Macroman-Printed-Trunks-RVBMMDRPRT2P15085_Multiple_Medium/dp/B07M9R5D2N/ref=sr_1_52_mod_primary_new?qid=1679142473&s=apparel&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-52,3.7,"1,574",₹297.99,₹499
Dixcy Scott Men’s Brief Snug Fit Solid Innerwear (Pack of 3),men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71GkW5879lL._AC_UL320_.jpg,https://www.amazon.in/Dixcy-Scott-Comfort-OE_Black-Grey_M/dp/B07VQ6NKMH/ref=sr_1_53?qid=1679142473&s=apparel&sr=1-53,3.9,"4,825",₹239,₹399
Amazon Brand - Symbol Men's Cotton Regular Boxer Shorts (Color & Print May Vary),men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/81VxbI6kfWL._AC_UL320_.jpg,https://www.amazon.in/Amazon-Brand-Printed-SYMBXPO2-11_3746-3897_Multicolor_Large/dp/B078T1MPNJ/ref=sr_1_54?qid=1679142473&s=apparel&sr=1-54,3.9,"9,297",₹343.28,"₹1,098"
Jockey Men's Cotton Boxer Brief Collections,men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61fbHnPAwEL._AC_UL320_.jpg,https://www.amazon.in/Jockey-Mens-Cotton-Brief-8009_Black_Medium/dp/B01ENC0GYK/ref=sr_1_55?qid=1679142473&s=apparel&sr=1-55,4.2,"6,589",,₹264
Dixcy Scott Men's Cotton Regular Briefs,men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71bVJ57yaYL._AC_UL320_.jpg,https://www.amazon.in/Dixcy-Scott-Innerwear-Waistband-REPLAYBRIEF-P5/dp/B08Z74SVPZ/ref=sr_1_56?qid=1679142473&s=apparel&sr=1-56,3.9,"1,149",₹329,₹549
Dixcy Scott Men’s Brief Snug Fit Solid Innerwear (Pack of 3),men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71GkW5879lL._AC_UL320_.jpg,https://www.amazon.in/Dixcy-Scott-Comfort-OE_Black-Grey_M/dp/B07VQ6NKMH/ref=sr_1_53?qid=1679142474&s=apparel&sr=1-53,3.9,"4,825",₹239,₹399
VIP Supreme Men's Half Sleeve Cotton Vest (Pack of 5),men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61nEqNamXaL._AC_UL320_.jpg,https://www.amazon.in/VIP-Mens-Cotton-Vest-SUPREME_RNS_White_95/dp/B01MQS8SEZ/ref=sr_1_54?qid=1679142474&s=apparel&sr=1-54,4.0,"8,626",₹627,₹690
Jockey Men's Black PocoT Brief,men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71cgzFDZCiL._AC_UL320_.jpg,https://www.amazon.in/Jockey-Cotton-Brief-8035-0310-ASSTD-Black/dp/B01420YYZ0/ref=sr_1_55?qid=1679142474&s=apparel&sr=1-55,4.2,"15,551",,₹498
Dixcy Scott Men Trunk,men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71nsq8a8qkL._AC_UL320_.jpg,https://www.amazon.in/Dixcy-Scott-Trunks-PR49501_lt-brown-95/dp/B07JZMH1ML/ref=sr_1_56_mod_primary_new?qid=1679142474&s=apparel&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-56,3.7,"16,590",₹425,₹999
Rupa Frontline Men's Plain Vest (Pack of 2),men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81Z4r3b0SbL._AC_UL320_.jpg,https://www.amazon.in/RUPA-Frontline-Mens-Cotton-FRONTTLINE-2PCS-PACK-White1-90/dp/B00JZM2DMM/ref=sr_1_57?qid=1679142474&s=apparel&sr=1-57,4.1,"3,869",₹219,₹287
Longies Men's Cotton Printed Regular Boxer Shorts,men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81dgwg6NAtL._AC_UL320_.jpg,https://www.amazon.in/Longies-Mens-Printed-Boxers-LGBOXPO3020L_Multicolor_Large/dp/B07R74SQXT/ref=sr_1_58?qid=1679142474&s=apparel&sr=1-58,4.0,"28,707",₹559,"₹1,197"
Jockey 8820 Men's Super Combed Cotton Round Neck Sleeveless Vest with Extended Length for Easy Tuck (Pack of 2),men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71ZUni1-moL._AC_UL320_.jpg,https://www.amazon.in/Jockey-Mens-Cotton-8901326030189_8820-0210-WHITE-White/dp/B00W04OG54/ref=sr_1_59?qid=1679142474&s=apparel&sr=1-59,4.2,"2,107",,₹458
"Van Heusen Men Trunks - 100% Combed Cotton - Pack of 2 - Anti Bacterial, Colour Fresh , Quick Dry",men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61Bmgti1GUL._AC_UL320_.jpg,https://www.amazon.in/Van-Heusen-Mens-Trunks-IHETR2CC410044_Multicolor_Large/dp/B08FJV8QMZ/ref=sr_1_60?qid=1679142474&s=apparel&sr=1-60,3.8,79,₹542,₹658
Levi's Men Vest(Pack of 2),men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61RKR+dMEvL._AC_UL320_.jpg,https://www.amazon.in/Levis-Mens-Solid-Vest-012-VEST-WHT-P2_White_S/dp/B07X42S4RP/ref=sr_1_61?qid=1679142474&s=apparel&sr=1-61,4.1,527,₹260,₹449
Levi's Men's Cotton Style #012 Classic Regular Fit Solid Vest (Pack of 2) (#012-VEST-WHT- White P2_M),men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61RKR+dMEvL._AC_UL320_.jpg,https://www.amazon.in/Levis-Mens-Solid-Vest-012-VEST-WHT-P2_White_M/dp/B07X55SJVN/ref=sr_1_62?qid=1679142474&s=apparel&sr=1-62,4.2,"1,546",₹359,₹449
XYXX Men's Underwear Uno IntelliSoft Antimicrobial Micro Modal Trunk Pack of 2,men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61zg3Zp4RQL._AC_UL320_.jpg,https://www.amazon.in/XYXX-Underwear-IntelliSoft-Antimicrobial-Micro/dp/B08V56NV1B/ref=sr_1_63?qid=1679142474&s=apparel&sr=1-63,3.9,"5,736",₹489,₹538
Jockey Mens Solid Briefs,men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/611LmS2tHRL._AC_UL320_.jpg,https://www.amazon.in/Jockey-Mens-Brief-IC27-0105-BLACK-Black/dp/B012SX29GE/ref=sr_1_64?qid=1679142474&s=apparel&sr=1-64,4.5,"6,186",₹489,₹569
Amazon Brand - Symbol Men's Cotton Regular Boxer Shorts,men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/91hFwO-qW8L._AC_UL320_.jpg,https://www.amazon.in/Amazon-Brand-Symbol-Printed-SYMBXRPO2-88_Multicolor/dp/B07TNL9WSJ/ref=sr_1_65?qid=1679142474&s=apparel&sr=1-65,4.0,"8,325",₹364.64,"₹1,399"
"FREECULTR Men's Underwear Anti Bacterial Smooth Flex Bio Modal Trunk - Itch, Chafing & Sweat Proof, No-Fade, 100% Try On G...",men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71EbXWF0nPL._AC_UL320_.jpg,https://www.amazon.in/FREECULTR-Anti-Microbial-Air-Soft-Micromodal-Underwear/dp/B084RWSV7F/ref=sr_1_66?qid=1679142474&s=apparel&sr=1-66,3.9,"6,962",₹809,"₹1,499"
Dixcy Scott Men's Regular Fit Vest,men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81ha9ehEYaL._AC_UL320_.jpg,https://www.amazon.in/DIXCY-Mens-Plain-Vest-K1/dp/B07DB327RW/ref=sr_1_67?qid=1679142474&s=apparel&sr=1-67,3.8,"2,832",₹259,₹399
Jockey FP04 Men's Super Combed Cotton Rib Round Neck Sleeveless Vest with Extended Length for Easy Tuck,men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71g-Lz3vqgL._AC_UL320_.jpg,https://www.amazon.in/Jockey-Mens-Cotton-Vest-8901326106501_FP04_Medium_White/dp/B01CP5V9L6/ref=sr_1_68?qid=1679142474&s=apparel&sr=1-68,4.3,"6,815",₹329,₹349
Levi's Men's 067 Active Trunks with Smartskin Technology (Pack of 3),men's clothing,Innerwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/71XafL3CiaL._AC_UL320_.jpg,https://www.amazon.in/Levis-Cotton-Active-Regular-STYLE-67-P3_Assorted_L/dp/B0BJ22PNG1/ref=sr_1_73?qid=1679142474&s=apparel&sr=1-73,,,₹628,"₹1,047"
