name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
"Panasonic 1 Ton 5 Star Wi-Fi Inverter Smart Split AC (Copper Condenser, 7 in 1 Convertible with additional AI Mode, 4 Way ...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/61ZzcguzB1L._AC_UL320_.jpg,https://www.amazon.in/Panasonic-Convertible-additional-Purification-CU-NU12YKY5W/dp/B0BRHYBC3D/ref=sr_1_30?qid=1679134237&s=kitchen&sr=1-30,4.3,"2,178","₹39,990","₹54,600"
"Lloyd 1.5 Ton 3 Star Fixed Speed Window Ac (Copper, 2023 Model, White With Silver Deco Strip, Glw18C3Ywsew)",appliances,Air Conditioners,https://m.media-amazon.com/images/I/81qXJbtSA6L._AC_UL320_.jpg,https://www.amazon.in/Lloyd-Window-Copper-Silver-GLW18C3YWSEW/dp/B0BRKXY81Z/ref=sr_1_28?qid=1679134239&s=kitchen&sr=1-28,,,"₹27,440","₹47,990"
"Samsung 1.5 Ton 5 Star Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Anti-Bacteria, 2023 Model AR18CYNZABE W...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/51XI2FLjJ4L._AC_UL320_.jpg,https://www.amazon.in/Samsung-Inverter-Convertible-Anti-Bacteria-AR18CYNZABE/dp/B0BRQD9Y92/ref=sr_1_29?qid=1679134239&s=kitchen&sr=1-29,4.1,"1,444","₹43,599","₹72,990"
"Voltas 1.5 Ton 5 Star, Inverter Window AC (Copper, 2-in-1 Adjustable Mode, 2023 Model, 185V Vertis Elite, White)",appliances,Air Conditioners,https://m.media-amazon.com/images/I/61suRUG6A+L._AC_UL320_.jpg,https://www.amazon.in/Voltas-Adjustable-Inverter-Window-Copper/dp/B0BBFX3S2L/ref=sr_1_30?qid=1679134239&s=kitchen&sr=1-30,3.8,360,"₹36,700","₹49,990"
"Samsung 1 Ton 3 Star Inverter Split Ac (Copper, Convertible 5-In-1 Cooling Mode, Easy Filter Plus (Anti-Bacteria), 2023 Mo...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/51iSjRHY6EL._AC_UL320_.jpg,https://www.amazon.in/Samsung-Inverter-Convertible-Anti-Bacteria-AR12CYLZABE/dp/B0BRQ9VCT7/ref=sr_1_31?qid=1679134239&s=kitchen&sr=1-31,4.0,38,"₹31,999","₹50,990"
"LG 1.0 Ton 5 Star DUAL Inverter Wi-Fi Window AC (Copper, Convertible 4-in-1 cooling, PW-Q12WUZA, 2022 Model, HD Filter, Wh...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/71WuTUFvmUL._AC_UL320_.jpg,https://www.amazon.in/LG-Inverter-Convertible-cooling-PW-Q12WUZA/dp/B09PZ33S3X/ref=sr_1_32?qid=1679134239&s=kitchen&sr=1-32,4.2,"1,208","₹32,480","₹75,990"
"Godrej 1.5 Ton 3 Star 5-In-1 Convertible, Inverter Split AC (100% Copper,I-Sense, 2023 Model, AC 1.5T EI 18TINV3R32-GWA/AC...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/41kGqW4aeML._AC_UL320_.jpg,https://www.amazon.in/Godrej-Convertible-1-5T-18TINV3R32-GWA-18TINV3R32-GWB/dp/B0BN37L5KM/ref=sr_1_33?qid=1679134239&s=kitchen&sr=1-33,3.9,341,"₹32,490","₹46,900"
"Voltas 2 Ton 3 Star, Inverter Split AC(Copper, 4-in-1 Adjustable Mode, Anti-dust Filter, 2023 Model, 243V Vectra Elite, Wh...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/41e6oqY5-ZL._AC_UL320_.jpg,https://www.amazon.in/Voltas-Adjustable-Inverter-Copper-VECTRA/dp/B0BBFTT3YL/ref=sr_1_34_mod_primary_new?qid=1679134239&s=kitchen&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-34,4.6,3,"₹44,990","₹79,990"
"Samsung 1.5 Ton 3 Star Wi-fi Enabled, Wind-Free Technology Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Ant...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/71kIl8z3SJL._AC_UL320_.jpg,https://www.amazon.in/Samsung-Technology-Convertible-Anti-Bacteria-AR18CYLANWK/dp/B0BRQB5SKS/ref=sr_1_35?qid=1679134239&s=kitchen&sr=1-35,3.5,15,"₹37,699","₹62,990"
"Whirlpool 1.0 Ton 3 Star, Flexicool Inverter Split AC (Copper, Convertible 4-in-1 Cooling Mode, HD Filter 2023 Model, S3K1...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/51vyGNOskVL._AC_UL320_.jpg,https://www.amazon.in/Whirlpool-Flexicool-Inverter-Convertible-Cooling/dp/B0BR5RST2X/ref=sr_1_36?qid=1679134239&s=kitchen&sr=1-36,3.9,925,"₹29,990","₹57,700"
"Whirlpool 1.5 Ton 5 Star, Flexicool Inverter Split AC (Copper, Convertible 4-in-1 Cooling Mode, HD Filter 2023 Model, S3I3...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/51xzmzjFS7L._AC_UL320_.jpg,https://www.amazon.in/Whirlpool-Flexicool-Inverter-Convertible-Cooling/dp/B0BR5S1PDX/ref=sr_1_37?qid=1679134239&s=kitchen&sr=1-37,4.0,"3,604","₹38,990","₹70,600"
"Voltas 0.8 Ton 3 Star, Inverter Split AC(Copper, 4-in-1 Adjustable Mode, Anti-dust Filter, 2023 Model, 103V Vectra Elite, ...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/41e6oqY5-ZL._AC_UL320_.jpg,https://www.amazon.in/Voltas-Adjustable-103V-Vectra-Elite/dp/B0BSLKLG4L/ref=sr_1_38?qid=1679134239&s=kitchen&sr=1-38,4.0,42,"₹27,490","₹54,990"
"LG 0.8 Ton 3 Star AI DUAL Inverter Split AC (Copper, Super Convertible 6-in-1 Cooling, HD Filter with Anti Virus protectio...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/51JFb7FctDL._AC_UL320_.jpg,https://www.amazon.in/LG-Inverter-Convertible-protection-RS-Q10ENXE/dp/B0BQN41YJV/ref=sr_1_39?qid=1679134239&s=kitchen&sr=1-39,3.3,22,"₹30,490","₹57,990"
"Daikin 1 Ton 5 Star Inverter Split AC (Copper, PM 2.5 Filter, 2022 Model, MTKM35U, White)",appliances,Air Conditioners,https://m.media-amazon.com/images/I/41BgAG0qRaL._AC_UL320_.jpg,https://www.amazon.in/Daikin-Inverter-Copper-Filter-MTKM35U/dp/B09R4RXLT4/ref=sr_1_43?qid=1679134239&s=kitchen&sr=1-43,4.1,94,"₹38,499","₹55,500"
"Blue Star 1 Ton Fixed Speed Portable AC (Copper, Anti Bacterial Silver Coating, Self Diagnosis, Comfort Sleep Modes-Auto/C...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/51eMr0B-93L._AC_UL320_.jpg,https://www.amazon.in/Blue-Star-Portable-Copper-PC12DB/dp/B07W6NX7BJ/ref=sr_1_44?qid=1679134239&s=kitchen&sr=1-44,3.4,"1,866","₹32,990","₹39,000"
"Blue Star 1 Ton 3 Star Fixed Speed Window AC (Copper, Turbo Cool, Humidity Control, Fan Modes-Auto/High/Medium/Low, Hydrop...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/715XgfIJDuL._AC_UL320_.jpg,https://www.amazon.in/Blue-Star-Hydrophilic-Self-Diagnosis-WFB312LN/dp/B0BDMT2MXS/ref=sr_1_45?qid=1679134239&s=kitchen&sr=1-45,4.0,292,"₹26,490","₹33,000"
"Panasonic 1.5 Ton 3 Star Wi-Fi Inverter Smart Split AC (Copper Condenser, 7 in 1 Convertible with additional AI Mode, PM ...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/61PWjQFDtQL._AC_UL320_.jpg,https://www.amazon.in/Panasonic-Convertible-additional-Purification-CU-SU18YKYWT/dp/B0BRJ5QH8G/ref=sr_1_46?qid=1679134239&s=kitchen&sr=1-46,4.2,"1,830","₹37,990","₹55,400"
"Samsung 1 Ton 3 Star Wi-fi Enabled, Wind-Free Technology Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Anti-...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/71IWBYDJbHL._AC_UL320_.jpg,https://www.amazon.in/Samsung-Technology-Convertible-Anti-bacterial-AR12CYLANWK/dp/B0BRQ8Q7CV/ref=sr_1_47?qid=1679134239&s=kitchen&sr=1-47,4.6,8,"₹34,699","₹53,990"
"Daikin 1.5 Ton 3 Star Fixed Speed Split AC (Copper, PM 2.5 Filter, 2022 Model, FTL50U, White)",appliances,Air Conditioners,https://m.media-amazon.com/images/I/410ih0eEMfL._AC_UL320_.jpg,https://www.amazon.in/Daikin-Fixed-Copper-Filter-FTL50U/dp/B09R4QLDWK/ref=sr_1_48?qid=1679134239&s=kitchen&sr=1-48,4.1,536,"₹37,800","₹55,600"
"Carrier 1.5 Ton 3 Star Fixed Speed Window AC( Copper,High Density Filter for Dust Filtration, 2Way Air Directional Contro...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/717wB+IneGL._AC_UL320_.jpg,https://www.amazon.in/Carrier-Window-Copper-Directional-Control/dp/B0BDG3RTG5/ref=sr_1_49?qid=1679134239&s=kitchen&sr=1-49,4.3,201,"₹30,990","₹45,090"
"IFB 1.5 Ton 3 Star Heavy Duty Inverter Split AC (Copper, Convertible Flexi 8-in-1 Cooling, PM 0.3 Filter, 2022 Model, CI18...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/41XbbkCXXzL._AC_UL320_.jpg,https://www.amazon.in/IFB-Inverter-Convertible-Cooling-CI1833E223G3/dp/B09RB6H1J2/ref=sr_1_50?qid=1679134239&s=kitchen&sr=1-50,3.3,3,"₹44,477","₹47,790"
"Blue Star 0.8 Ton 3 Star Inverter Split Ac (Copper, Turbo Cool, Gold Fins, Comfort Sleep, Self Clean Technology, Multi Sen...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/51k0NvUmYLL._AC_UL320_.jpg,https://www.amazon.in/Blue-Star-Inverter-Copper-IC309RBTU/dp/B08L6QX5WC/ref=sr_1_51?qid=1679134239&s=kitchen&sr=1-51,4.2,"2,722","₹28,990","₹41,500"
"Carrier 2 Ton 5 Star AI Flexicool Inverter Split AC (Copper, Convertible 6-in-1 Cooling,Dual Filtration with HD & PM 2.5 F...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/61JtwWcAcoL._AC_UL320_.jpg,https://www.amazon.in/Carrier-Flexicool-Convertible-Filtration-CAI24ES5R33F0/dp/B0BR58NG48/ref=sr_1_52?qid=1679134239&s=kitchen&sr=1-52,3.9,69,"₹52,990","₹91,690"
"Blue Star 1 Ton 3 Star Convertible 4 in 1 Cooling Inverter Split AC (Copper, Multi Sensors, Stabalizer Free Operation, Dus...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/51FETwYY9SL._AC_UL320_.jpg,https://www.amazon.in/Blue-Star-Convertible-Stabalizer-IA312YNU/dp/B0BQW6V8RZ/ref=sr_1_53?qid=1679134239&s=kitchen&sr=1-53,3.9,202,"₹32,690","₹51,500"
"Cruise 1.5 Ton 3 Star Inverter Split AC with 7-Stage Air Filtration (100% Copper, Convertible 4-in-1, PM 2.5 Filter, 2022 ...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/41wle1II8xL._AC_UL320_.jpg,https://www.amazon.in/Cruise-Inverter-Filtration-CWCVBG-VQ1W183-Dehumidifier/dp/B094752MJ5/ref=sr_1_54?qid=1679134239&s=kitchen&sr=1-54,4.3,23,"₹29,990","₹52,900"
"AmazonBasics 1.5 Ton 5 Star Inverter Split AC (White, Air Purifier, Copper)",appliances,Air Conditioners,https://m.media-amazon.com/images/I/71Gij6Cos4L._AC_UL320_.jpg,https://www.amazon.in/AmazonBasics-Star-Inverter-Conditioner-LEEL/dp/B07L44L1GP/ref=sr_1_52?qid=1679134240&s=kitchen&sr=1-52,3.7,"1,195","₹32,990","₹56,990"
"Voltas 1 Ton 3 Star, Inverter Split AC(Copper, 4-in-1 Adjustable Mode, Anti-dust Filter, 2023 Model, 123V Vectra Elegant, ...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/41LlSc9YsnL._AC_UL320_.jpg,https://www.amazon.in/Voltas-Adjustable-123V-Vectra-Elegant/dp/B0BQR2491B/ref=sr_1_53?qid=1679134240&s=kitchen&sr=1-53,2.9,5,"₹29,950","₹56,990"
"Samsung 1 Ton 5 Star Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Anti-bacterial Filter, 2023 Model AR12CY5...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/51nHL0am-TL._AC_UL320_.jpg,https://www.amazon.in/Samsung-Inverter-Convertible-Anti-bacterial-AR12CY5ZAGD/dp/B0BSGSCNV9/ref=sr_1_54?qid=1679134240&s=kitchen&sr=1-54,,,"₹36,999","₹57,990"
"Carrier 2 Ton 3 Star AI Flexicool Inverter Split AC (Copper, Convertible 4-in-1 Cooling,Dual Filtration with HD & PM 2.5 F...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/41lrtqXPiWL._AC_UL320_.jpg,https://www.amazon.in/Carrier-Inverter-Split-Copper-Flexicool/dp/B0B67S3TXP/ref=sr_1_55?qid=1679134240&s=kitchen&sr=1-55,4.0,66,"₹48,990","₹80,890"
"Lloyd 1.5 Ton 5 Star Fixed Speed Window Ac (Copper, 2023 Model, White With Silver Deco Strip, Glw18C5Xwgmr)",appliances,Air Conditioners,https://m.media-amazon.com/images/I/71wnwaJKh9L._AC_UL320_.jpg,https://www.amazon.in/Lloyd-Window-Copper-Silver-GLW18C5XWGMR/dp/B0BRKYDWS5/ref=sr_1_56?qid=1679134240&s=kitchen&sr=1-56,4.2,474,"₹32,999","₹54,990"
"Lloyd 1.0 Ton 3 Star Fixed Speed Window AC (Copper, 2023 Model, White with Silver Deco Strip, GLW12C3XWSEW)",appliances,Air Conditioners,https://m.media-amazon.com/images/I/81qXJbtSA6L._AC_UL320_.jpg,https://www.amazon.in/Lloyd-Window-Copper-Silver-GLW12C3XWSEW/dp/B0BRKXV3MR/ref=sr_1_57?qid=1679134240&s=kitchen&sr=1-57,4.0,502,"₹25,690","₹43,990"
Panasonic 1 Ton 3 Star Wi-Fi Inverter Split Air Conditioner (White),appliances,Air Conditioners,https://m.media-amazon.com/images/I/51oqlNHOBaL._AC_UL320_.jpg,https://www.amazon.in/Panasonic-Conditioner-Convertible-Anti-Corrosion-CU-SU12XKYWA/dp/B09R3T1QLW/ref=sr_1_58?qid=1679134240&s=kitchen&sr=1-58,4.2,686,"₹32,490","₹48,100"
"Whirlpool 1.0 Ton 5 Star, Flexicool Inverter Split AC (Copper, Convertible 4-in-1 Cooling Mode, HD Filter 2023 Model, S3I1...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/51xzmzjFS7L._AC_UL320_.jpg,https://www.amazon.in/Whirlpool-Flexicool-Inverter-Convertible-Cooling/dp/B0BR5SZ922/ref=sr_1_59?qid=1679134240&s=kitchen&sr=1-59,4.0,"1,183","₹34,490","₹64,200"
"Samsung 1.5 Ton 3 Star Wind-Free Technology Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Anti-bacterial Fil...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/71Dg20TjSpL._AC_UL320_.jpg,https://www.amazon.in/Samsung-Technology-Convertible-Anti-bacterial-AR18CYLAMWK/dp/B0BRQDGFL8/ref=sr_1_60?qid=1679134240&s=kitchen&sr=1-60,4.0,56,"₹37,699","₹61,990"
"Haier 1.5 Ton 3 Star Frost Self Clean Inverter Split AC(100% Grooved copper, Super Anti-corrosion, 2023 Model, HSU17V-TMS3...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/51WirkzK4JL._AC_UL320_.jpg,https://www.amazon.in/Haier-Inverter-Grooved-Anti-corrosion-HSU17V-TMS3BE-INV/dp/B0BSFRD38D/ref=sr_1_61?qid=1679134240&s=kitchen&sr=1-61,,,"₹32,990","₹64,000"
Hitachi Split Ac - 1.5 Ton Kiyora 5200Fx I Fresh Inverter - R32 - RSRG518FFEO (Gold),appliances,Air Conditioners,https://m.media-amazon.com/images/I/417b-AztnjL._AC_UL320_.jpg,https://www.amazon.in/SPLIT-AC-HITACHI-INVERTER-RSRG518FFEO/dp/B0B14J2VQ2/ref=sr_1_62?qid=1679134240&s=kitchen&sr=1-62,5.0,1,"₹42,240","₹71,900"
"Lloyd 2.0 Ton 5 Star Inverter Split Ac (5 In 1 Convertible, Copper, Anti-Viral + Pm 2.5 Filter, 2023 Model, White With Gol...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/318Bff9KCBL._AC_UL320_.jpg,https://www.amazon.in/Lloyd-Inverter-Convertible-Anti-Viral-GLS24I5FWGEV/dp/B0BRKWQSGL/ref=sr_1_63?qid=1679134240&s=kitchen&sr=1-63,4.0,49,"₹52,090","₹85,990"
"Samsung 1.5 Ton 5 Star Wind-Free Technology Inverter Split AC (Copper, Convertible 5-in-1 Cooling Mode, Anti-bacterial Fil...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/71orowaO-xL._AC_UL320_.jpg,https://www.amazon.in/Samsung-Technology-Convertible-Anti-bacterial-AR18CYNAMWK/dp/B0BRQCKLKR/ref=sr_1_67?qid=1679134240&s=kitchen&sr=1-67,4.1,212,"₹46,499","₹73,990"
"Panasonic 1.5 Ton 4 Star Wi-Fi Inverter Smart Split AC (Copper Condenser, 7 in 1 Convertible with additional AI Mode, 4 Wa...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/61sbGpSQptL._AC_UL320_.jpg,https://www.amazon.in/Panasonic-Convertible-additional-Purification-CU-NU18YKY4W/dp/B0BRHZVBN1/ref=sr_1_68?qid=1679134240&s=kitchen&sr=1-68,4.4,3,"₹42,990","₹59,400"
"Blue Star 1.5 Ton 3 Star Fixed Speed Window AC (Copper, Turbo Cool, Humidity Control, Fan Modes-Auto/High/Medium/Low, Hydr...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/71mF5lrGA1L._AC_UL320_.jpg,https://www.amazon.in/Blue-Star-Hydrophilic-Self-Diagnosis-WFA318LN/dp/B0BDML494F/ref=sr_1_69?qid=1679134240&s=kitchen&sr=1-69,3.9,79,"₹30,399","₹39,500"
"Blue Star 1.5 Ton 5 Star Fixed Speed Window AC (Copper, Turbo Cool, Humidity Control, Fan Modes-Auto/High/Medium/Low, Hydr...",appliances,Air Conditioners,https://m.media-amazon.com/images/I/71DSyQO7qHL._AC_UL320_.jpg,https://www.amazon.in/Blue-Star-Window-Copper-WFA518LN/dp/B09RTGPRK7/ref=sr_1_70?qid=1679134240&s=kitchen&sr=1-70,4.2,468,"₹34,990","₹44,500"
"Panasonic 1 Ton 3 Star Inverter Split Air Conditioner (Copper, PM 2.5 Air Purification, 2022 Model, CS/CU-RU12XKYA, White)",appliances,Air Conditioners,https://m.media-amazon.com/images/I/61mcsP4PwML._AC_UL320_.jpg,https://www.amazon.in/Panasonic-Conditioner-Purification-CS-CU-RU12XKYA/dp/B09R4DDVQV/ref=sr_1_71?qid=1679134240&s=kitchen&sr=1-71,4.2,317,"₹32,490","₹47,100"
